,index,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
809,25451,Loyal Customer,36,Business travel,Business,187,0,5,0,3,5,5,5,1,1,1,1,5,1,5,0,0.0,satisfied
810,6114,Loyal Customer,45,Business travel,Eco,1102,4,3,4,3,4,3,4,4,5,1,1,4,5,4,3,4.0,satisfied
811,9528,disloyal Customer,23,Business travel,Eco,337,4,5,4,3,1,4,1,1,3,3,4,5,5,1,0,0.0,satisfied
812,114777,Loyal Customer,28,Personal Travel,Eco,362,1,4,1,3,2,5,2,2,3,2,5,3,5,2,24,16.0,neutral or dissatisfied
813,85384,Loyal Customer,43,Business travel,Business,600,1,1,5,1,3,3,5,,2,2,2,5,2,4,1,0.0,satisfied
814,46234,Loyal Customer,42,Business travel,Business,247,3,3,3,3,4,1,5,,5,5,5,3,5,3,0,0.0,satisfied
815,77240,Loyal Customer,40,Business travel,Business,321,2,2,2,2,2,4,4,,5,5,5,5,5,3,0,0.0,satisfied
816,76955,disloyal Customer,29,Business travel,Eco,1008,5,5,5,4,3,4,3,3,4,3,3,3,5,3,0,0.0,satisfied
817,40182,disloyal Customer,21,Business travel,Eco,173,4,0,4,4,3,5,3,3,5,5,4,3,4,3,0,0.0,satisfied
818,12279,Loyal Customer,52,Business travel,Business,1482,5,5,2,5,4,2,4,2,2,2,2,4,2,4,0,0.0,satisfied
819,44909,Loyal Customer,51,Business travel,Business,3185,1,1,1,1,4,4,4,,5,5,5,4,5,3,0,0.0,satisfied
820,127240,Loyal Customer,19,Personal Travel,Eco,1598,1,4,1,3,5,5,5,,3,2,3,5,5,5,103,100.0,neutral or dissatisfied
821,28932,Loyal Customer,33,Personal Travel,Eco Plus,990,4,5,4,2,2,2,2,,4,3,5,3,5,2,5,0.0,neutral or dissatisfied
822,33451,disloyal Customer,47,Business travel,Eco,1032,2,2,2,3,4,2,4,4,5,3,4,1,5,4,4,16.0,neutral or dissatisfied
823,74099,Loyal Customer,56,Business travel,Eco,1133,2,5,5,5,3,3,5,,2,2,2,4,2,1,11,0.0,satisfied
824,6727,Loyal Customer,45,Business travel,Business,2227,2,2,2,2,3,1,5,5,5,4,5,4,5,5,0,0.0,satisfied
825,100721,Loyal Customer,60,Business travel,Business,759,2,2,2,2,3,3,4,,2,2,2,5,2,5,0,0.0,satisfied
826,88344,Loyal Customer,48,Business travel,Eco Plus,692,2,4,4,4,4,5,3,,2,2,2,2,2,4,60,55.0,satisfied
827,77763,disloyal Customer,36,Business travel,Eco,1005,1,0,0,2,3,3,5,,2,1,3,5,2,3,20,10.0,neutral or dissatisfied
828,18628,Loyal Customer,33,Personal Travel,Business,684,3,5,3,2,2,2,4,,3,3,3,5,3,4,0,0.0,neutral or dissatisfied
829,35920,Loyal Customer,33,Business travel,Business,2676,1,1,3,3,2,5,1,,1,4,4,1,2,1,9,16.0,neutral or dissatisfied
830,26729,Loyal Customer,53,Business travel,Business,1621,4,3,3,3,1,4,4,4,4,4,4,1,4,2,0,0.0,neutral or dissatisfied
831,16945,disloyal Customer,39,Business travel,Eco,425,5,0,5,3,4,5,4,4,4,3,4,2,1,4,44,,satisfied
832,38968,Loyal Customer,17,Personal Travel,Eco,534,5,5,5,5,3,4,3,,5,3,5,3,4,3,27,21.0,satisfied
833,50520,Loyal Customer,56,Business travel,Business,2414,3,3,3,3,2,5,4,5,5,5,5,4,5,5,25,11.0,satisfied
834,100193,Loyal Customer,63,Personal Travel,Eco,399,2,3,2,4,1,5,1,,5,3,2,1,4,1,0,0.0,neutral or dissatisfied
835,74211,disloyal Customer,26,Business travel,Business,1514,1,0,1,2,5,3,5,,3,4,5,5,5,5,0,,neutral or dissatisfied
836,101663,Loyal Customer,45,Business travel,Business,414,4,4,4,4,2,4,4,,4,4,4,5,4,3,13,6.0,satisfied
837,20410,disloyal Customer,16,Business travel,Eco,631,0,0,0,1,1,2,1,,2,1,3,5,4,1,70,47.0,satisfied
838,33939,Loyal Customer,40,Business travel,Business,991,5,5,5,5,2,2,5,,5,5,5,4,5,3,2,0.0,satisfied
839,96083,Loyal Customer,39,Business travel,Business,1768,1,0,0,4,4,4,3,4,4,0,2,1,4,4,0,0.0,neutral or dissatisfied
840,12277,Loyal Customer,54,Personal Travel,Eco,192,3,2,3,4,2,4,2,,3,5,3,3,4,2,0,0.0,neutral or dissatisfied
841,57007,Loyal Customer,59,Business travel,Eco Plus,253,2,3,3,3,1,2,4,,2,2,2,3,2,3,0,10.0,satisfied
842,115555,Loyal Customer,51,Business travel,Business,3107,3,5,5,5,2,1,3,3,3,3,3,2,3,1,5,,neutral or dissatisfied
843,120836,Loyal Customer,65,Personal Travel,Eco,515,3,4,3,4,4,2,5,,3,3,3,3,3,4,11,0.0,neutral or dissatisfied
844,111533,Loyal Customer,16,Personal Travel,Eco,628,2,5,2,4,4,5,4,,3,3,4,3,4,4,0,0.0,neutral or dissatisfied
845,34054,disloyal Customer,39,Business travel,Eco,300,3,0,3,4,3,5,2,,4,1,1,4,2,3,0,0.0,neutral or dissatisfied
846,46961,Loyal Customer,38,Business travel,Business,304,3,4,3,4,4,5,3,3,3,2,3,2,3,2,0,0.0,neutral or dissatisfied
847,126945,Loyal Customer,36,Personal Travel,Eco,157,3,4,0,2,4,3,4,,5,3,4,3,5,4,86,62.0,neutral or dissatisfied
848,80600,Loyal Customer,45,Business travel,Business,651,5,5,5,5,4,5,5,,5,5,5,2,5,3,0,0.0,satisfied
849,119819,Loyal Customer,59,Business travel,Business,337,0,0,0,4,5,2,4,,5,4,4,4,5,5,0,0.0,satisfied
850,27625,Loyal Customer,11,Personal Travel,Eco,1105,4,3,3,3,2,3,2,2,2,3,4,3,4,2,13,18.0,neutral or dissatisfied
851,77954,disloyal Customer,30,Business travel,Eco,174,2,0,2,2,5,4,5,5,5,3,3,3,5,5,0,,neutral or dissatisfied
852,79048,Loyal Customer,40,Personal Travel,Eco,621,1,5,1,1,2,3,2,,3,2,5,4,4,2,12,2.0,neutral or dissatisfied
853,102595,Loyal Customer,52,Business travel,Business,763,1,1,1,1,4,3,4,5,5,4,5,5,5,4,0,0.0,satisfied
854,47023,Loyal Customer,40,Business travel,Eco,421,4,4,4,4,4,2,4,,1,4,4,4,4,4,0,0.0,neutral or dissatisfied
855,95449,Loyal Customer,60,Personal Travel,Business,210,2,2,2,3,5,2,3,,1,2,1,1,1,1,0,0.0,neutral or dissatisfied
856,98374,Loyal Customer,71,Business travel,Eco,255,3,5,2,5,3,1,3,3,2,5,4,3,4,3,0,0.0,neutral or dissatisfied
857,50346,disloyal Customer,50,Business travel,Business,1737,1,1,1,4,5,3,5,5,5,2,4,4,4,5,0,,neutral or dissatisfied
858,114063,Loyal Customer,52,Business travel,Business,1416,1,1,1,1,3,1,5,4,4,4,4,4,4,3,9,,satisfied
859,45462,Loyal Customer,40,Business travel,Eco,605,5,2,2,2,5,4,5,5,2,2,3,3,5,5,7,,satisfied
860,35978,Loyal Customer,44,Personal Travel,Eco,213,4,5,4,1,1,3,1,,1,4,1,4,1,1,0,5.0,neutral or dissatisfied
861,40625,Loyal Customer,59,Business travel,Eco,232,4,2,2,2,3,5,3,,4,4,4,3,4,1,0,,satisfied
862,113494,Loyal Customer,64,Personal Travel,Eco,280,2,5,2,3,5,4,4,2,2,2,1,3,2,3,20,28.0,neutral or dissatisfied
863,52456,Loyal Customer,43,Business travel,Business,1635,3,3,3,3,2,5,5,,4,4,4,5,4,4,31,32.0,satisfied
864,107903,Loyal Customer,22,Business travel,Business,3435,3,3,3,3,4,3,4,4,5,3,4,4,1,4,33,22.0,satisfied
865,22917,Loyal Customer,61,Personal Travel,Eco,474,3,3,3,4,4,5,4,,2,3,2,4,2,4,0,,neutral or dissatisfied
866,119027,Loyal Customer,41,Business travel,Business,3757,2,2,2,2,2,2,4,4,4,4,4,5,4,3,20,2.0,satisfied
867,51164,Loyal Customer,29,Business travel,Eco Plus,1726,1,5,5,5,1,3,1,,3,5,3,4,4,1,0,0.0,neutral or dissatisfied
868,122089,Loyal Customer,51,Business travel,Business,3744,1,1,1,1,3,3,5,4,4,4,3,5,4,3,0,0.0,satisfied
869,43497,disloyal Customer,30,Business travel,Eco,944,3,3,3,2,2,3,2,2,5,3,4,1,1,2,94,73.0,neutral or dissatisfied
870,120942,Loyal Customer,55,Personal Travel,Eco,529,4,5,4,2,1,2,1,,5,2,4,3,5,1,0,0.0,satisfied
871,67331,Loyal Customer,64,Personal Travel,Business,495,3,4,3,5,5,3,5,4,4,3,2,5,4,3,8,11.0,neutral or dissatisfied
872,59639,Loyal Customer,29,Personal Travel,Eco Plus,1587,2,4,3,2,4,4,4,,4,3,4,5,4,4,25,12.0,neutral or dissatisfied
873,90423,Loyal Customer,47,Personal Travel,Eco Plus,452,3,5,3,5,3,5,3,,3,2,5,3,4,3,0,0.0,neutral or dissatisfied
874,90110,Loyal Customer,34,Business travel,Business,397,5,5,5,5,2,5,4,4,4,4,4,3,4,4,17,14.0,satisfied
875,62156,Loyal Customer,31,Personal Travel,Eco,442,4,1,5,4,5,4,5,,2,3,3,4,3,5,6,,neutral or dissatisfied
876,108486,disloyal Customer,26,Business travel,Eco,489,3,4,3,2,1,4,1,,3,3,2,4,1,1,0,0.0,neutral or dissatisfied
877,75335,Loyal Customer,50,Personal Travel,Eco Plus,1185,3,5,3,5,5,3,5,3,3,3,3,5,3,5,0,0.0,neutral or dissatisfied
878,122554,Loyal Customer,36,Personal Travel,Eco Plus,2288,5,3,5,4,5,4,5,,1,3,4,5,3,5,0,,satisfied
879,118341,disloyal Customer,23,Business travel,Eco,934,2,2,2,3,2,5,2,2,1,2,4,4,5,2,0,,neutral or dissatisfied
880,16953,disloyal Customer,16,Business travel,Eco,528,5,0,5,4,2,5,2,,5,1,2,3,1,2,0,9.0,satisfied
881,39369,Loyal Customer,68,Personal Travel,Eco,408,2,5,2,3,4,3,4,,4,5,5,5,5,4,0,0.0,neutral or dissatisfied
882,95065,Loyal Customer,46,Business travel,Eco Plus,1846,2,4,4,4,1,3,3,,2,2,2,2,2,3,1,28.0,neutral or dissatisfied
883,11669,Loyal Customer,48,Business travel,Eco,1400,5,3,3,3,5,3,5,,2,4,2,2,5,5,0,0.0,satisfied
884,28849,Loyal Customer,54,Business travel,Business,2607,1,1,2,1,5,1,5,3,5,2,3,5,4,5,290,,satisfied
885,25600,disloyal Customer,30,Business travel,Eco,761,2,2,2,2,5,4,5,,4,2,2,1,4,5,0,0.0,neutral or dissatisfied
886,109400,disloyal Customer,64,Business travel,Eco Plus,302,2,1,1,3,1,5,1,1,3,3,3,2,3,1,0,0.0,neutral or dissatisfied
887,85534,Loyal Customer,52,Personal Travel,Eco,1671,2,5,2,3,5,4,4,5,5,2,5,2,5,5,0,0.0,neutral or dissatisfied
888,116342,Loyal Customer,59,Personal Travel,Eco,417,3,2,3,2,2,3,2,,4,1,3,3,3,2,0,0.0,neutral or dissatisfied
889,68565,disloyal Customer,27,Business travel,Business,229,2,2,2,1,4,4,4,,1,3,1,5,1,4,0,,neutral or dissatisfied
890,65689,Loyal Customer,7,Personal Travel,Eco,966,1,5,1,4,2,3,2,2,4,2,4,3,4,2,21,25.0,neutral or dissatisfied
891,120204,Loyal Customer,40,Business travel,Business,2172,2,2,2,2,2,5,5,,2,2,2,4,2,5,0,0.0,satisfied
892,126330,Loyal Customer,66,Personal Travel,Eco,1590,2,3,3,2,1,2,1,,2,2,2,2,3,1,0,2.0,neutral or dissatisfied
893,48515,disloyal Customer,38,Business travel,Business,163,4,4,4,3,5,5,4,,4,5,5,4,4,5,17,,neutral or dissatisfied
894,56771,Loyal Customer,44,Business travel,Business,2035,3,3,5,3,1,1,3,,4,5,5,4,4,3,3,0.0,satisfied
895,32095,Loyal Customer,31,Personal Travel,Eco,508,1,1,4,3,5,4,5,,2,3,4,3,4,5,0,0.0,neutral or dissatisfied
896,83933,Loyal Customer,29,Business travel,Business,2362,4,4,4,4,5,4,5,5,5,5,5,5,5,5,0,6.0,satisfied
897,50024,Loyal Customer,44,Business travel,Business,237,1,1,1,1,2,4,4,,4,4,4,3,4,4,7,4.0,satisfied
898,3831,Loyal Customer,48,Business travel,Business,296,1,1,3,1,4,4,4,5,5,5,5,5,5,5,0,0.0,satisfied
899,53808,Loyal Customer,58,Business travel,Business,944,1,1,1,1,4,4,5,3,3,4,3,5,3,4,0,0.0,satisfied
900,48446,Loyal Customer,51,Business travel,Business,541,5,5,5,5,3,3,5,4,4,4,4,4,4,4,0,0.0,satisfied
901,125751,Loyal Customer,32,Personal Travel,Eco,649,0,2,0,3,2,2,2,,2,2,4,4,4,2,0,3.0,satisfied
902,58310,Loyal Customer,22,Personal Travel,Eco,738,5,4,5,3,3,4,3,,4,4,5,5,5,3,0,3.0,satisfied
903,32178,Loyal Customer,43,Personal Travel,Eco,239,2,3,0,1,0,2,5,,4,2,3,5,4,5,158,147.0,neutral or dissatisfied
904,115630,Loyal Customer,53,Personal Travel,Eco,675,5,5,5,3,2,3,5,,3,5,3,3,3,3,0,0.0,satisfied
905,4101,Loyal Customer,43,Business travel,Business,2934,4,4,4,4,5,5,5,,4,4,4,4,4,5,0,13.0,satisfied
906,40249,disloyal Customer,28,Business travel,Eco,1074,5,5,5,1,2,5,2,,2,5,3,3,4,2,0,0.0,satisfied
907,84946,disloyal Customer,20,Business travel,Eco,346,4,0,4,2,1,4,1,1,3,5,5,2,1,1,1,0.0,satisfied
908,127717,Loyal Customer,13,Business travel,Business,2329,5,5,5,5,4,3,4,4,3,2,5,3,5,4,1,,satisfied
909,19584,Loyal Customer,58,Personal Travel,Eco Plus,147,1,5,0,4,5,5,1,5,5,5,3,4,5,5,0,0.0,neutral or dissatisfied
910,64006,Loyal Customer,62,Business travel,Business,2697,2,2,2,2,3,5,3,,2,2,2,4,2,1,57,52.0,neutral or dissatisfied
911,62663,Loyal Customer,70,Personal Travel,Eco,574,3,2,3,2,1,1,1,1,2,2,3,4,3,1,0,0.0,neutral or dissatisfied
912,104318,Loyal Customer,53,Personal Travel,Eco,447,3,1,3,2,2,3,1,5,5,3,5,4,5,1,0,0.0,neutral or dissatisfied
913,10204,Loyal Customer,62,Business travel,Business,2741,1,1,1,1,3,2,4,,4,4,4,5,4,3,16,0.0,satisfied
914,49817,Loyal Customer,47,Business travel,Business,2946,3,3,3,3,2,2,5,2,2,3,2,4,2,3,0,0.0,satisfied
915,1056,Loyal Customer,16,Personal Travel,Eco,979,3,2,3,3,3,1,3,3,1,2,4,1,3,3,0,25.0,neutral or dissatisfied
916,96502,disloyal Customer,19,Business travel,Eco,2248,3,3,3,3,1,4,1,,3,3,3,4,4,1,0,11.0,neutral or dissatisfied
917,126804,Loyal Customer,62,Personal Travel,Eco,692,3,5,3,2,5,3,5,,4,4,5,3,5,5,13,0.0,neutral or dissatisfied
918,28571,Loyal Customer,46,Business travel,Eco,872,2,1,1,1,3,5,3,3,2,4,4,4,4,3,42,32.0,neutral or dissatisfied
919,87731,Loyal Customer,20,Personal Travel,Eco,258,4,3,4,4,2,1,2,,3,5,4,1,4,2,2,0.0,neutral or dissatisfied
920,82979,Loyal Customer,47,Business travel,Business,2809,0,1,1,2,5,5,4,,5,5,5,5,5,4,9,14.0,satisfied
921,34685,Loyal Customer,20,Personal Travel,Eco,395,4,1,4,3,2,4,1,2,3,4,4,2,4,2,0,0.0,satisfied
922,43389,Loyal Customer,44,Business travel,Eco Plus,1620,3,1,1,1,3,2,3,3,1,5,3,4,3,3,19,64.0,neutral or dissatisfied
923,92821,Loyal Customer,50,Business travel,Business,2002,1,1,1,1,5,2,1,5,5,5,5,1,5,4,0,6.0,satisfied
924,56605,Loyal Customer,78,Business travel,Eco,323,2,3,3,3,2,5,2,2,2,3,3,1,4,2,50,61.0,neutral or dissatisfied
925,11431,Loyal Customer,64,Personal Travel,Eco,594,3,4,3,2,4,2,4,,5,2,5,3,5,4,0,0.0,neutral or dissatisfied
926,82997,Loyal Customer,47,Business travel,Eco,224,4,5,5,5,4,4,4,,3,1,4,2,4,4,0,0.0,neutral or dissatisfied
927,52416,Loyal Customer,65,Business travel,Eco Plus,280,2,5,5,5,5,1,1,,2,2,2,4,2,5,13,0.0,satisfied
928,88735,Loyal Customer,44,Business travel,Business,3129,3,3,3,3,3,4,4,2,2,2,2,1,2,3,1,36.0,satisfied
929,17755,Loyal Customer,51,Business travel,Eco,641,5,5,5,5,4,2,4,4,5,5,3,4,1,4,0,,satisfied
930,85321,Loyal Customer,47,Business travel,Business,1847,5,5,5,5,3,2,4,4,4,4,4,3,4,5,0,1.0,satisfied
931,35400,disloyal Customer,34,Business travel,Business,569,1,1,1,5,4,3,4,,3,3,4,5,4,4,0,0.0,neutral or dissatisfied
932,5557,Loyal Customer,19,Personal Travel,Eco,731,3,4,3,3,3,4,3,,4,4,4,2,3,3,0,,neutral or dissatisfied
933,84389,Loyal Customer,32,Personal Travel,Eco Plus,787,4,4,4,2,3,3,3,,3,5,5,4,4,3,0,0.0,neutral or dissatisfied
934,17279,Loyal Customer,30,Business travel,Business,3702,3,3,3,3,2,3,2,2,3,5,2,2,5,2,4,0.0,satisfied
935,30517,Loyal Customer,15,Personal Travel,Eco Plus,109,3,1,3,4,3,2,3,,2,4,3,1,3,3,0,0.0,neutral or dissatisfied
936,172,disloyal Customer,25,Business travel,Business,544,3,5,3,1,2,5,2,2,4,2,5,4,4,2,0,0.0,neutral or dissatisfied
937,34511,Loyal Customer,59,Business travel,Business,822,2,2,2,2,4,4,4,,4,4,4,5,4,5,0,0.0,satisfied
938,44973,Loyal Customer,43,Business travel,Business,618,4,4,4,4,1,2,4,,4,4,4,4,4,3,0,0.0,satisfied
939,45845,Loyal Customer,53,Business travel,Business,1085,2,5,5,5,4,4,3,,2,2,2,4,2,4,0,,neutral or dissatisfied
940,34379,Loyal Customer,9,Personal Travel,Eco,239,5,4,5,2,1,4,1,,3,5,2,2,3,1,1,2.0,satisfied
941,57733,Loyal Customer,24,Business travel,Eco,1521,5,2,2,2,5,3,5,,1,1,5,3,2,5,14,0.0,satisfied
942,115699,Loyal Customer,39,Business travel,Business,3262,5,5,5,5,5,5,4,,5,4,5,5,5,4,12,11.0,satisfied
943,1156,Loyal Customer,45,Business travel,Business,2931,1,1,2,1,4,4,1,,5,5,5,2,5,2,0,0.0,satisfied
944,96244,disloyal Customer,45,Business travel,Business,507,4,3,3,2,1,0,1,1,3,4,5,5,4,1,25,9.0,satisfied
945,24363,Loyal Customer,53,Business travel,Business,2721,3,5,5,5,4,5,3,3,3,3,3,3,3,3,0,,neutral or dissatisfied
946,5435,Loyal Customer,27,Personal Travel,Eco,603,1,5,1,2,3,5,3,3,4,3,5,5,5,3,0,,neutral or dissatisfied
947,119830,Loyal Customer,54,Business travel,Business,3323,1,1,1,1,4,0,4,5,5,4,5,4,5,5,16,6.0,satisfied
948,106073,Loyal Customer,38,Business travel,Business,1909,5,5,5,5,3,4,5,4,4,4,4,3,4,3,0,0.0,satisfied
949,90802,disloyal Customer,37,Business travel,Eco,950,2,2,2,4,1,4,1,1,4,4,2,1,5,1,0,0.0,neutral or dissatisfied
950,81858,Loyal Customer,54,Business travel,Business,2890,5,5,4,5,4,4,5,5,5,5,5,4,5,4,16,1.0,satisfied
951,100112,Loyal Customer,7,Personal Travel,Eco,833,3,2,3,4,4,5,2,4,1,2,4,2,3,4,0,0.0,neutral or dissatisfied
952,93377,Loyal Customer,46,Personal Travel,Eco,1635,3,5,3,3,4,1,4,,5,3,4,4,5,3,0,6.0,neutral or dissatisfied
953,7875,Loyal Customer,37,Personal Travel,Eco,515,2,1,2,4,1,4,1,1,4,5,3,3,3,1,47,44.0,neutral or dissatisfied
954,76045,Loyal Customer,58,Business travel,Eco,2556,2,3,3,3,2,4,2,,5,2,2,2,1,2,0,21.0,neutral or dissatisfied
955,16341,Loyal Customer,41,Business travel,Business,1947,2,1,1,1,3,1,3,,2,2,2,1,2,4,3,7.0,neutral or dissatisfied
956,33842,Loyal Customer,61,Business travel,Business,2524,1,1,1,1,5,5,5,4,4,4,4,4,4,3,0,0.0,satisfied
957,22920,Loyal Customer,42,Business travel,Business,611,4,4,4,4,4,5,5,4,4,4,4,5,4,5,0,0.0,satisfied
958,108202,Loyal Customer,60,Personal Travel,Eco,448,3,4,3,3,4,3,4,4,3,1,3,2,3,4,49,36.0,neutral or dissatisfied
959,23357,Loyal Customer,26,Business travel,Business,2434,2,2,3,2,5,1,5,,3,5,3,5,4,5,0,0.0,satisfied
960,85987,Loyal Customer,24,Business travel,Business,3108,4,4,4,4,4,5,4,,5,4,5,5,5,4,0,,satisfied
961,58442,Loyal Customer,40,Business travel,Business,337,3,3,3,3,2,1,4,4,4,4,4,4,4,5,0,0.0,satisfied
962,106984,Loyal Customer,43,Business travel,Eco,266,4,5,5,5,4,5,4,,5,2,1,3,1,4,0,0.0,satisfied
963,4200,Loyal Customer,17,Business travel,Business,1797,4,4,4,4,5,5,5,,3,3,4,4,4,5,21,4.0,satisfied
964,107891,Loyal Customer,49,Business travel,Eco Plus,195,4,3,3,3,4,5,4,,1,1,3,1,1,4,0,0.0,satisfied
965,124892,Loyal Customer,43,Business travel,Eco,1590,1,2,2,2,1,1,1,,2,5,4,1,4,1,0,0.0,neutral or dissatisfied
966,125179,disloyal Customer,18,Business travel,Eco,926,1,1,1,4,4,2,4,4,2,3,4,2,4,4,52,36.0,neutral or dissatisfied
967,99923,Loyal Customer,43,Business travel,Business,1290,1,1,1,1,5,3,5,,4,4,4,5,4,5,20,5.0,satisfied
968,31360,disloyal Customer,25,Business travel,Eco,1223,3,3,3,3,5,1,1,5,2,2,3,4,2,5,30,45.0,neutral or dissatisfied
969,125336,Loyal Customer,52,Business travel,Business,3488,2,4,2,2,1,1,2,,5,5,5,3,5,4,0,0.0,satisfied
970,56544,Loyal Customer,44,Personal Travel,Eco,300,0,4,0,1,1,5,5,,5,3,5,3,5,1,0,0.0,satisfied
971,83733,Loyal Customer,33,Personal Travel,Business,548,1,1,1,2,3,5,2,,5,1,5,3,5,3,0,0.0,neutral or dissatisfied
972,1293,Loyal Customer,38,Business travel,Business,491,1,1,3,1,3,4,4,,4,4,4,4,4,4,74,65.0,satisfied
973,96717,Loyal Customer,20,Personal Travel,Eco,1299,2,4,2,2,3,5,3,,3,5,4,4,5,3,0,1.0,neutral or dissatisfied
974,107865,Loyal Customer,57,Business travel,Business,2099,0,4,1,4,5,0,1,1,1,1,1,3,1,5,0,0.0,satisfied
975,47605,disloyal Customer,36,Business travel,Eco,300,1,0,2,3,5,2,5,,1,4,3,2,5,5,0,0.0,neutral or dissatisfied
976,59416,Loyal Customer,56,Business travel,Business,189,0,5,1,1,4,2,5,5,5,5,5,5,5,5,12,,satisfied
977,48036,Loyal Customer,43,Business travel,Business,1598,4,3,4,4,4,3,4,,4,4,4,5,4,3,0,0.0,satisfied
978,115401,Loyal Customer,51,Personal Travel,Eco,1139,2,1,2,2,4,4,2,5,5,2,1,4,5,2,0,0.0,neutral or dissatisfied
979,90522,Loyal Customer,30,Personal Travel,Eco,725,1,4,1,4,3,5,3,,3,5,2,2,2,3,25,0.0,neutral or dissatisfied
980,33248,Loyal Customer,40,Business travel,Business,2683,1,3,3,3,2,2,4,,1,1,1,4,1,2,114,107.0,neutral or dissatisfied
981,19948,Loyal Customer,18,Business travel,Business,3904,4,4,4,4,4,4,4,,4,5,5,4,3,4,0,,satisfied
982,5871,Loyal Customer,70,Business travel,Business,2625,0,4,0,2,5,3,5,,4,5,5,2,4,4,0,6.0,satisfied
983,25334,Loyal Customer,32,Business travel,Eco,1013,4,2,2,2,4,1,4,4,1,2,3,2,4,4,0,4.0,neutral or dissatisfied
984,25838,Loyal Customer,16,Personal Travel,Eco,2133,4,5,4,3,3,3,3,,3,2,3,3,4,3,0,0.0,neutral or dissatisfied
985,90376,Loyal Customer,59,Personal Travel,Eco,781,2,5,2,4,5,5,5,,1,2,2,4,1,5,1,0.0,neutral or dissatisfied
986,12444,disloyal Customer,36,Business travel,Business,226,4,4,4,1,3,4,5,,4,2,3,1,3,3,0,0.0,neutral or dissatisfied
987,127726,disloyal Customer,40,Business travel,Business,649,2,2,2,3,4,4,4,4,3,5,4,5,4,4,21,11.0,neutral or dissatisfied
988,57419,Loyal Customer,44,Personal Travel,Eco,680,1,5,1,1,4,4,5,,3,1,3,4,3,3,6,0.0,neutral or dissatisfied
989,87174,Loyal Customer,30,Business travel,Business,2907,1,1,1,1,3,5,3,,5,1,5,5,4,3,8,,satisfied
990,17371,Loyal Customer,16,Personal Travel,Eco,921,3,5,3,3,1,1,1,,4,5,4,4,5,1,97,101.0,neutral or dissatisfied
991,90809,disloyal Customer,33,Business travel,Eco,618,2,0,2,1,2,4,2,,5,2,2,2,3,2,0,0.0,neutral or dissatisfied
992,28062,disloyal Customer,17,Business travel,Eco,1324,1,1,1,4,4,3,4,,3,4,4,2,4,4,49,40.0,neutral or dissatisfied
993,109312,Loyal Customer,58,Business travel,Business,3730,2,2,2,2,4,5,4,4,4,4,4,5,4,4,9,4.0,satisfied
994,115774,Loyal Customer,41,Personal Travel,Eco,134,1,0,1,4,1,4,2,,1,1,5,5,2,1,0,10.0,neutral or dissatisfied
995,118037,Loyal Customer,53,Business travel,Business,2854,5,5,5,5,5,4,5,4,4,4,4,5,4,4,0,0.0,satisfied
996,94268,Loyal Customer,47,Business travel,Eco Plus,1119,2,1,1,1,3,5,4,,2,2,2,2,2,2,0,0.0,neutral or dissatisfied
997,24595,Loyal Customer,46,Business travel,Business,1342,4,4,4,4,2,4,5,4,4,4,4,4,4,4,0,7.0,satisfied
998,61670,Loyal Customer,37,Business travel,Business,451,2,5,5,5,3,4,3,,2,2,2,2,2,1,64,63.0,neutral or dissatisfied
999,62925,Loyal Customer,35,Business travel,Eco,182,4,3,3,3,4,1,4,4,3,2,4,3,2,4,0,0.0,satisfied
1000,46378,Loyal Customer,51,Business travel,Business,1747,5,5,5,5,3,4,5,4,4,4,4,4,4,4,58,,satisfied
1001,48402,Loyal Customer,43,Personal Travel,Eco,383,2,4,2,2,2,4,5,4,4,2,4,3,4,3,0,0.0,neutral or dissatisfied
1002,36867,Loyal Customer,7,Personal Travel,Eco,584,3,5,3,2,4,1,3,4,3,4,4,4,5,4,0,0.0,neutral or dissatisfied
1003,51597,Loyal Customer,41,Business travel,Business,3340,1,1,1,1,5,5,5,,4,4,4,2,4,5,0,0.0,satisfied
1004,35919,Loyal Customer,10,Personal Travel,Eco,852,5,4,5,1,2,1,2,2,3,3,4,3,4,2,0,0.0,satisfied
1005,26284,Loyal Customer,32,Business travel,Business,2999,2,2,2,2,4,0,4,4,3,4,5,3,4,4,28,11.0,satisfied
1006,66015,Loyal Customer,16,Business travel,Business,1912,2,4,4,4,2,5,2,2,2,2,3,3,4,2,3,0.0,neutral or dissatisfied
1007,81940,Loyal Customer,26,Personal Travel,Eco,430,2,5,2,5,1,2,1,1,5,3,3,5,3,1,0,0.0,neutral or dissatisfied
1008,61371,disloyal Customer,39,Business travel,Business,328,2,2,2,3,2,3,2,,3,3,4,3,4,2,16,21.0,neutral or dissatisfied
1009,70737,Loyal Customer,29,Business travel,Eco,1136,2,2,2,2,2,5,2,,3,3,4,1,3,2,20,22.0,neutral or dissatisfied
1010,34653,Loyal Customer,37,Business travel,Business,120,2,2,2,2,3,5,1,5,5,5,5,1,5,1,0,0.0,satisfied
1011,52846,Loyal Customer,15,Personal Travel,Eco Plus,581,3,4,3,5,5,1,5,,5,4,2,3,1,5,36,60.0,neutral or dissatisfied
